[03:16:32] [main/INFO]: ModLauncher running: args [--username, Farathil, --version, forge-43.2.14, --gameDir, C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack, --assetsDir, C:\Users\Owner\curseforge\minecraft\Install\assets, --assetIndex, 1.19, --uuid, 9e5332c4e06f4c85ac9213e09fe24211, --accessToken, ????????, --clientId, ZDEzMzk1ZTAtYWZhZi00NjhkLThjM2MtNjViMzVhNWMyZjE1, --xuid, 2533274940621723, --userType, msa, --versionType, release, --width, 1024, --height, 768, --launchTarget, forgeclient, --fml.forgeVersion, 43.2.14, --fml.mcVersion, 1.19.2, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20220805.130853]
[03:16:32] [main/INFO]: ModLauncher 10.0.8+10.0.8+main.0ef7e830 starting: java version 17.0.3 by Microsoft; OS Windows 10 arch amd64 version 10.0
[03:16:34] [main/INFO]: SpongePowered MIXIN Subsystem Version=0.8.5 Source=union:/C:/Users/Owner/curseforge/minecraft/Install/libraries/org/spongepowered/mixin/0.8.5/mixin-0.8.5.jar%2397!/ Service=ModLauncher Env=CLIENT
[03:16:36] [main/INFO]: Found mod file abnormals_delight-1.19.2-4.0.2.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file AdvancedPeripherals-1.19.2-0.7.29r.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file AdvancementPlaques-1.19.2-1.4.7.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file AI-Improvements-1.19.2-0.5.2.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file Alexs Armoury v1.4.1-1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file allurement-1.19.2-3.1.0.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file almostunified-forge-1.19.2-0.5.0.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file AmbientEnvironment-forge-1.19.2-8.0+3.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file AmbientSounds_FORGE_v5.2.13_mc1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file Apotheosis-1.19.2-6.3.0.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file appleskin-forge-mc1.19-2.4.2.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file Aquaculture-1.19.2-2.4.8.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file architectury-6.5.85-forge.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file armourersworkshop-forge-1.19.2-2.0.2.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file ars_creo-1.19.2-3.2.1.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file ars_nouveau-1.19.2-3.17.6.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file arsarmiger-1.19.2-1.4.0.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file art_of_forging-1.6.7-1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file artifacts-1.19.2-5.0.2.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file atmospheric-1.19.2-5.0.0.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file AttributeFix-Forge-1.19.2-17.2.6.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file AutoRegLib-1.8.2-55.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file autumnity-1.19.2-4.0.0.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file badpackets-forge-0.2.1.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file balm-forge-1.19.2-4.5.7.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file BetterAdvancements-1.19.2-0.2.2.142.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file BetterAnimationsCollection-v4.0.5-1.19.2-Forge.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
